,Claude 3 Sonnet,Claude 3.5 Sonnet,Claude 3.7 Sonnet,Claude Sonnet 4,GPT-4o (old),GPT-4o,GPT-4.1,GPT-4.1 Mini,GPT-4.1 Nano,Gemini 2.5 Flash,Gemini 2.5 Flash Lite,Gemini 2.5 Pro
Claude 3 Sonnet,1.0,0.17748241805570458,0.3531227116122093,0.19236913254118657,-0.08950686553488056,-0.040028931011365655,0.04820445848242702,0.07154462086777229,-0.03722599337648594,0.5361136046754429,0.2727575476821769,-0.08911849970873745
Claude 3.5 Sonnet,0.17748241805570458,1.0,0.3442617303936772,0.5284464770276257,0.2285143542121423,0.023616572141091977,0.0879055528664219,-0.09192107721504897,0.2235000577070932,0.27892931965079504,0.49740011157333197,0.1036298657948277
Claude 3.7 Sonnet,0.3531227116122093,0.3442617303936772,1.0,0.39502373223736365,0.6034041975682294,0.05876306492789765,0.2577862779573975,-0.12727118521962877,0.3462779517982423,0.034213022337013996,0.481694136476229,0.08509795200256749
Claude Sonnet 4,0.19236913254118657,0.5284464770276257,0.39502373223736365,1.0,0.6065853392806682,0.23808867177888332,0.3611703044352868,0.09757260929176413,0.6640109844680838,0.1521038651289713,0.8113416252885808,0.2940918607474313
GPT-4o (old),-0.08950686553488056,0.2285143542121423,0.6034041975682294,0.6065853392806682,1.0,0.5511468731309606,0.37926478092296767,0.15671685430238508,0.6229083441915056,0.02966197558924959,0.6828219023759085,0.4057798058797798
GPT-4o,-0.040028931011365655,0.023616572141091977,0.05876306492789765,0.23808867177888332,0.5511468731309606,1.0,0.3492040579929847,0.4483464067565161,0.16320730534501343,0.11802232847687712,0.21120427067805836,0.294514264135218
GPT-4.1,0.04820445848242702,0.0879055528664219,0.2577862779573975,0.3611703044352868,0.37926478092296767,0.3492040579929847,1.0,0.2461690013060296,0.2952406987830741,0.1540411193234975,0.45967228110485475,-0.04443896481823236
GPT-4.1 Mini,0.07154462086777229,-0.09192107721504897,-0.12727118521962877,0.09757260929176413,0.15671685430238508,0.4483464067565161,0.2461690013060296,1.0,0.1436830971966889,0.07948040196628357,0.05879163907366677,0.12406412343746337
GPT-4.1 Nano,-0.03722599337648594,0.2235000577070932,0.3462779517982423,0.6640109844680838,0.6229083441915056,0.16320730534501343,0.2952406987830741,0.1436830971966889,1.0,0.0045749996683123965,0.561483083266813,0.14390097944782726
Gemini 2.5 Flash,0.5361136046754429,0.27892931965079504,0.034213022337013996,0.1521038651289713,0.02966197558924959,0.11802232847687712,0.1540411193234975,0.07948040196628357,0.0045749996683123965,1.0,0.48276490074617434,-0.04462701967923891
Gemini 2.5 Flash Lite,0.2727575476821769,0.49740011157333197,0.481694136476229,0.8113416252885808,0.6828219023759085,0.21120427067805836,0.45967228110485475,0.05879163907366677,0.561483083266813,0.48276490074617434,1.0,0.28473136810041044
Gemini 2.5 Pro,-0.08911849970873745,0.1036298657948277,0.08509795200256749,0.2940918607474313,0.4057798058797798,0.294514264135218,-0.04443896481823236,0.12406412343746337,0.14390097944782726,-0.04462701967923891,0.28473136810041044,1.0
