Model,Company,Release Date,Parameters,Activated Parameters,Context Length,Architecture,Training Data,Key Features,Benchmarks
DeepSeek-V3,DeepSeek,December 2024,671B,37B,128K,MoE with MLA,14.8T tokens,"Multi-head Latent Attention (MLA), Auxiliary-loss-free load balancing, Multi-Token Prediction, FP8 mixed precision training","Outperforms Llama 3.1 405B, matches or exceeds GPT-4o on math (90.2% on MATH-500) and coding tasks (37.6% on LiveCodeBench)"
DeepSeek-V2,DeepSeek,May 2024,236B,21B,128K,MoE with MLA,8.1T tokens,"Multi-head Latent Attention (MLA), DeepSeekMoE with shared and routed experts","Strong performance with 78.4% on MMLU, 81.6% on GSM8K, 43.4% on MATH"
DeepSeek-V2-Lite,DeepSeek,May 2024,16B,2.4B,32K,MoE with MLA,5.7T tokens,"MLA and MoE architecture, deployable on single 40GB GPU","58.3% on MMLU, 44.1% on BBH, 60.3% on C-Eval, 41.1% on GSM8K"
DeepSeek-R1,DeepSeek,January 2025,Based on V3,Same as V3,128K,Based on V3 architecture,From V3 plus additional reasoning data,"Specialized for mathematical reasoning and problem-solving, structured thinking formats","Excels on AIME 2024 (39.2%), MATH-500 (90.2%), and CNMO 2024 (43.2%)"
Qwen-2.5-72B,Alibaba,Not specified,72B,72B (Dense),128K,Dense transformer,Not specified,"Strong multilingual capabilities, specialized in Chinese language tasks","85.3% on MMLU, 86.1% on C-Eval, 80.0% on MATH-500"
Qwen-2.5-7B,Alibaba,Not specified,7B,7B (Dense),128K,Dense transformer,Not specified,"Smaller variant in the Qwen 2.5 series, efficient deployment","Specific benchmarks not available in the search results"
deepseek/deepseek-chat-v3-0324,DeepSeek,March 2024,16B,16B,32K,Transformer-based,Multiple trillions of tokens,"Improved reasoning, instruction following, and multilingual capabilities","Strong performance across coding, math reasoning, and general knowledge benchmarks"
anthropic/claude-3-haiku,Anthropic,March 2024,Undisclosed,Undisclosed,200K,Transformer-based,Diverse corpus with RLHF,"Fastest and most efficient Claude model, strong context handling, multimodal capabilities","Competitive performance with reduced latency compared to larger models"
google/gemini-2.0-flash-001,Google,August 2024,Undisclosed,Undisclosed,128K,Multimodal transformer,Diverse multimodal data,"Fast inference, strong reasoning, multimodal understanding","High performance/efficiency ratio, optimized for real-time applications"
google/gemini-2.0-flash-lite-001,Google,August 2024,Undisclosed (smaller),Undisclosed,32K,Multimodal transformer,Diverse multimodal data,"Lighter version of Flash model, optimized for edge devices","Balance of performance and efficiency for resource-constrained environments"
google/gemini-flash-1.5,Google,February 2024,Undisclosed,Undisclosed,128K,Multimodal transformer,Diverse multimodal data,"Fastest model in Gemini 1.5 family, optimized for responsiveness","Efficient real-time processing with strong reasoning capabilities"
google/gemma-2-9b-it,Google,May 2024,9B,9B,8K,Dense transformer,High-quality curated data,"Open-weight model, instruction-tuned version, compact architecture","Strong performance for its size, efficient deployment options"
google/gemma-3-12b-it,Google,October 2024,12B,12B,128K,Transformer-based,Expanded high-quality dataset,"Enhanced reasoning, context processing, instruction following","Performance approaching much larger closed models, efficient fine-tuning"
google/gemma-3-27b-it,Google,October 2024,27B,27B,128K,Transformer-based,Expanded high-quality dataset,"Larger Gemma-3 variant, improved reasoning and knowledge","Strong performance across reasoning, coding, and general knowledge benchmarks"
meta-llama/llama-4-maverick,Meta,November 2024,90B,90B,128K,Transformer-based,Expanded corpus,System message support and enhanced control,"Strong logical reasoning, instruction following, multimodal capabilities"
meta-llama/llama-4-scout,Meta,November 2024,8B,8B,128K,Transformer-based,Expanded corpus,"Compact model from Llama 4 family, optimized for efficiency","Competitive performance in a much smaller parameter footprint"
mistralai/mistral-7b-instruct-v0.3,Mistral AI,December 2023,7B,7B,32K,Transformer with grouped-query attention,"High-quality text from the web, books, papers","Efficient attention mechanism, sliding window attention, instruction fine-tuning","Strong performance for its size, 8-bit quantization support"
mistralai/mistral-nemo,Mistral AI,August 2024,12B,12B,65K,Transformer with grouped-query attention,Expanded dataset with code emphasis,"Optimized for NVIDIA NeMo framework, efficiency improvements","Enhanced code generation, technical reasoning, and instruction following"
mistralai/mistral-small-3.1-24b-instruct,Mistral AI,September 2024,24B,24B,32K,Transformer-based,Extensive multilingual data,"Strong multilingual capabilities, improved reasoning, instruction following","Excellent balance of performance and efficiency in mid-sized model range"
mistralai/mistral-tiny,Mistral AI,May 2024,7B,7B,32K,Transformer-based with optimizations,Curated high-quality dataset,"Designed for efficiency, strong single-turn performance","Cost-effective deployment with competitive performance for its size"
x-ai/grok-3-mini-beta,xAI,October 2024,Undisclosed (estimated 8-12B),Undisclosed,128K,Transformer-based,Diverse corpus with live data connection,"Real-time information access, reasoning-optimized architecture","Strong performance on coding, reasoning, and general knowledge tasks" 
