batch,model,count
batch,target_model,1
batch2B,claude-3-haiku,160
batch2B,deepseek-chat-v3-0324,160
batch2B,gemini-2.0-flash-001,160
batch2B,gemini-2.0-flash-lite-001,160
batch2B,gemini-flash-1.5,160
batch2B,gemma-2-9b-it,160
batch2B,gemma-3-12b-it,160
batch2B,gemma-3-27b-it,160
batch2B,grok-3-mini-beta,160
batch2B,llama-4-maverick,160
batch2B,llama-4-scout,160
batch2B,mistral-7b-instruct-v0.3,160
batch2B,mistral-nemo,160
batch2B,mistral-small-3.1-24b-instruct,160
batch2B,mistral-tiny,160
batch2B,qwen-2.5-72b-instruct,160
batch2B,qwen-2.5-7b-instruct,160
batch2C,llama-3.1-70b-instruct,86
batch2C,llama-3.1-8b-instruct,87
batch2D,llama-3.1-70b-instruct,160
batch2D,llama-3.1-8b-instruct,160
batch2D_2,llama-3.1-70b-instruct,160
batch2D_2,llama-3.1-8b-instruct,160
batch3A,claude-3.5-sonnet,80
batch3A,claude-3.7-sonnet,81
batch3A,deepseek-chat-v3-0324,79
batch3A,gemini-2.5-flash-preview,80
batch3A,gemini-2.5-pro-preview-03-25,80
batch3A,gpt-4.1,80
batch3A,gpt-4.1-mini,80
batch3A,gpt-4.1-nano,80
batch3A,gpt-4o,80
batch3A_additional,claude-3.5-sonnet,20
batch3A_additional,claude-3.7-sonnet,20
batch3A_additional,deepseek-chat-v3-0324,20
batch3A_additional,gemini-2.5-flash-preview,20
batch3A_additional,gemini-2.5-pro-preview-03-25,20
batch3A_additional,gpt-4.1,20
batch3A_additional,gpt-4.1-mini,20
batch3A_additional,gpt-4.1-nano,20
batch3A_additional,gpt-4o,20
batch_1,gpt-4o-mini-2024-07-18,990
batch_1,llama-3.1-405b-instruct,990
batch_1,llama-3.1-70b-instruct,990
batch_1,llama-3.1-8b-instruct,990
batch_1,llama-3.2-1b-instruct,990
batch_1,llama-3.2-3b-instruct,990
batch_1,llama-3.3-70b-instruct,990
batch_thinking,claude-3.7-sonnet,317
batch_thinking,gemini-2.5-flash-preview,317
batch_thinking,gemini-2.5-pro-preview,315
batch_thinking,o1-mini,318
batch_thinking,o4-mini,318
batch_thinking,qwen3-8b,315
