Model,Company,Release Date,Parameters,Parameter Accuracy,Activated Parameters,Context Length,Architecture,Training Data,Key Features,Benchmarks
DeepSeek-V3,DeepSeek,December 2024,671.0,exact,37.0,128K,MoE with MLA,14.8T tokens,"Multi-head Latent Attention (MLA), Auxiliary-loss-free load balancing, Multi-Token Prediction, FP8 mixed precision training","Outperforms Llama 3.1 405B, matches or exceeds GPT-4o on math (90.2% on MATH-500) and coding tasks (37.6% on LiveCodeBench)"
DeepSeek-V2,DeepSeek,May 2024,236.0,exact,21.0,128K,MoE with MLA,8.1T tokens,"Multi-head Latent Attention (MLA), DeepSeekMoE with shared and routed experts","Strong performance with 78.4% on MMLU, 81.6% on GSM8K, 43.4% on MATH"
DeepSeek-V2-Lite,DeepSeek,May 2024,16.0,exact,2.4,32K,MoE with MLA,5.7T tokens,"MLA and MoE architecture, deployable on single 40GB GPU","58.3% on MMLU, 44.1% on BBH, 60.3% on C-Eval, 41.1% on GSM8K"
DeepSeek-R1,DeepSeek,January 2025,671.0,estimate,37.0,128K,Based on V3 architecture,From V3 plus additional reasoning data,"Specialized for mathematical reasoning and problem-solving, structured thinking formats","Excels on AIME 2024 (39.2%), MATH-500 (90.2%), and CNMO 2024 (43.2%)"
meta-llama/llama-3.1-70b-instruct,Meta,July 2024,70.0,exact,70.0,128K,Transformer with GQA,15T+ tokens,"Multilingual (8 languages), improved knowledge, coding, math, instruction following, long context, tool use","83.6% on MMLU, 80.5% on HumanEval, 95.1% on GSM-8K, 68.0% on MATH"
Qwen-2.5-72B,Alibaba,September 2024,72.0,exact,72.0,128K,Dense transformer,18T tokens,"Strong multilingual capabilities (29+ languages), long context support, efficient instruction following","85.3% on MMLU, 86.1% on C-Eval, 80.0% on MATH-500"
Qwen-2.5-7B,Alibaba,September 2024,7.0,exact,7.0,128K,Dense transformer with RoPE/SwiGLU/RMSNorm,18T tokens,"Multilingual (29+ languages), long text generation (8K tokens), structured data understanding","Competitive performance for its size, efficient deployment, especially strong on code and math tasks"
deepseek/deepseek-chat-v3-0324,DeepSeek,March 2024,16.0,exact,16.0,32K,Transformer-based,Multiple trillions of tokens,"Improved reasoning, instruction following, and multilingual capabilities","Strong performance across coding, math reasoning, and general knowledge benchmarks"
anthropic/claude-3-haiku,Anthropic,March 2024,8.0,estimate,8.0,200K,Transformer-based,Diverse corpus with RLHF,"Fastest and most efficient Claude model, strong context handling, multimodal capabilities","Competitive performance with reduced latency compared to larger models"
google/gemini-2.0-flash-001,Google,August 2024,35.0,estimate,35.0,128K,Multimodal transformer,Diverse multimodal data,"Fast inference, strong reasoning, multimodal understanding","High performance/efficiency ratio, optimized for real-time applications"
google/gemini-2.0-flash-lite-001,Google,August 2024,20.0,estimate,20.0,32K,Multimodal transformer,Diverse multimodal data,"Lighter version of Flash model, optimized for edge devices","Balance of performance and efficiency for resource-constrained environments"
google/gemini-flash-1.5,Google,February 2024,25.0,estimate,25.0,128K,Multimodal transformer,Diverse multimodal data,"Fastest model in Gemini 1.5 family, optimized for responsiveness","Efficient real-time processing with strong reasoning capabilities"
google/gemma-2-9b-it,Google,May 2024,9.0,exact,9.0,8K,Dense transformer,High-quality curated data,"Open-weight model, instruction-tuned version, compact architecture","Strong performance for its size, efficient deployment options"
google/gemma-3-12b-it,Google,October 2024,12.0,exact,12.0,128K,Transformer-based,Expanded high-quality dataset,"Enhanced reasoning, context processing, instruction following","Performance approaching much larger closed models, efficient fine-tuning"
google/gemma-3-27b-it,Google,October 2024,27.0,exact,27.0,128K,Transformer-based,Expanded high-quality dataset,"Larger Gemma-3 variant, improved reasoning and knowledge","Strong performance across reasoning, coding, and general knowledge benchmarks"
meta-llama/llama-4-maverick,Meta,November 2024,90.0,exact,90.0,128K,Transformer-based,Expanded corpus,System message support and enhanced control,"Strong logical reasoning, instruction following, multimodal capabilities"
meta-llama/llama-4-scout,Meta,November 2024,8.0,exact,8.0,128K,Transformer-based,Expanded corpus,"Compact model from Llama 4 family, optimized for efficiency","Competitive performance in a much smaller parameter footprint"
mistralai/mistral-7b-instruct-v0.3,Mistral AI,December 2023,7.0,exact,7.0,32K,Transformer with grouped-query attention,"High-quality text from web, books, papers","Efficient attention mechanism, sliding window attention, instruction fine-tuning","Strong performance for its size, 8-bit quantization support"
mistralai/mistral-nemo,Mistral AI,August 2024,12.0,exact,12.0,65K,Transformer with grouped-query attention,Expanded dataset with code emphasis,"Optimized for NVIDIA NeMo framework, efficiency improvements","Enhanced code generation, technical reasoning, and instruction following"
mistralai/mistral-small-3.1-24b-instruct,Mistral AI,September 2024,24.0,exact,24.0,32K,Transformer-based,Extensive multilingual data,"Strong multilingual capabilities, improved reasoning, instruction following","Excellent balance of performance and efficiency in mid-sized model range"
mistralai/mistral-tiny,Mistral AI,May 2024,7.0,exact,7.0,32K,Transformer-based with optimizations,Curated high-quality dataset,"Designed for efficiency, strong single-turn performance","Cost-effective deployment with competitive performance for its size"
x-ai/grok-3-mini-beta,xAI,October 2024,10.0,estimate,10.0,128K,Transformer-based,Diverse corpus with live data connection,"Real-time information access, reasoning-optimized architecture","Strong performance on coding, reasoning, and general knowledge tasks" 
