Model,Company,Release Date,Parameters,Parameter Accuracy,Release Date Accuracy,Activated Parameters,Context Length,Architecture,Training Data,Key Features,Benchmarks
DeepSeek-V3,DeepSeek,December 2024,671.0,exact,estimate,37.0,128K,MoE with MLA,14.8T tokens,"Multi-head Latent Attention (MLA), Auxiliary-loss-free load balancing, Multi-Token Prediction, FP8 mixed precision training","Outperforms Llama 3.1 405B, matches or exceeds GPT-4o on math (90.2% on MATH-500) and coding tasks (37.6% on LiveCodeBench)"
DeepSeek-V2,DeepSeek,May 2024,236.0,exact,exact,21.0,128K,MoE with MLA,8.1T tokens,"Multi-head Latent Attention (MLA), DeepSeekMoE with shared and routed experts","Strong performance with 78.4% on MMLU, 81.6% on GSM8K, 43.4% on MATH"
DeepSeek-V2-Lite,DeepSeek,May 2024,16.0,exact,exact,2.4,32K,MoE with MLA,5.7T tokens,"MLA and MoE architecture, deployable on single 40GB GPU","58.3% on MMLU, 44.1% on BBH, 60.3% on C-Eval, 41.1% on GSM8K"
DeepSeek-R1,DeepSeek,January 2025,671.0,estimate,estimate,37.0,128K,Based on V3 architecture,From V3 plus additional reasoning data,"Specialized for mathematical reasoning and problem-solving, structured thinking formats","Excels on AIME 2024 (39.2%), MATH-500 (90.2%), and CNMO 2024 (43.2%)"
Qwen-2.5-72B,Alibaba,Not specified,72.0,exact,estimate,72.0,128K,Dense transformer,Not specified,"Strong multilingual capabilities, specialized in Chinese language tasks","85.3% on MMLU, 86.1% on C-Eval, 80.0% on MATH-500"
Qwen-2.5-7B,Alibaba,Not specified,7.0,exact,estimate,7.0,128K,Dense transformer,Not specified,"Smaller variant in the Qwen 2.5 series, efficient deployment","Specific benchmarks not available in the search results"
deepseek/deepseek-chat-v3-0324,DeepSeek,March 2024,16.0,exact,exact,16.0,32K,Transformer-based,Multiple trillions of tokens,"Improved reasoning, instruction following, and multilingual capabilities","Strong performance across coding, math reasoning, and general knowledge benchmarks"
anthropic/claude-3-haiku,Anthropic,March 2024,8.0,estimate,exact,8.0,200K,Transformer-based,Diverse corpus with RLHF,"Fastest and most efficient Claude model, strong context handling, multimodal capabilities","Competitive performance with reduced latency compared to larger models"
google/gemini-2.0-flash-001,Google,August 2024,35.0,estimate,exact,35.0,128K,Multimodal transformer,Diverse multimodal data,"Fast inference, strong reasoning, multimodal understanding","High performance/efficiency ratio, optimized for real-time applications"
google/gemini-2.0-flash-lite-001,Google,August 2024,20.0,estimate,exact,20.0,32K,Multimodal transformer,Diverse multimodal data,"Lighter version of Flash model, optimized for edge devices","Balance of performance and efficiency for resource-constrained environments"
